student_id,course_id,grade,semester,is_favorite,is_unfavorite
1,113,0,Spring 2023,1,0
1,103,76,Fall 2023,0,0
1,110,13,Fall 2023,0,0
1,107,0,Fall 2023,0,0
1,111,26,Fall 2023,0,0
2,107,40,Fall 2023,1,0
2,108,69,Spring 2023,1,0
2,110,46,Spring 2023,0,0
2,101,48,Spring 2023,0,0
3,114,21,Spring 2023,1,0
3,107,0,Fall 2023,1,0
3,108,13,Spring 2023,1,0
3,105,0,Spring 2023,0,1
3,106,27,Fall 2023,0,0
3,111,0,Fall 2023,0,0
3,104,12,Fall 2023,0,0
3,115,3,Fall 2023,0,0
4,101,17,Fall 2023,1,0
4,103,66,Fall 2023,1,0
4,110,34,Spring 2023,1,0
4,104,2,Fall 2023,1,0
4,115,9,Fall 2023,0,0
4,109,18,Fall 2023,0,0
5,108,36,Spring 2023,1,0
5,107,50,Spring 2023,1,0
5,114,56,Spring 2023,1,0
5,102,30,Spring 2023,1,0
5,105,14,Spring 2023,0,0
5,103,76,Fall 2023,0,0
5,112,0,Spring 2023,0,0
5,104,2,Spring 2023,0,0
6,110,73,Fall 2023,1,0
6,104,0,Fall 2023,1,0
6,103,49,Spring 2023,1,0
6,114,22,Spring 2023,0,0
6,111,8,Spring 2023,0,0
7,101,57,Spring 2023,1,0
7,109,27,Spring 2023,0,1
7,111,3,Spring 2023,0,0
7,108,3,Fall 2023,0,0
7,112,3,Fall 2023,0,0
8,107,0,Spring 2023,1,0
8,114,10,Fall 2023,1,0
8,106,25,Fall 2023,0,0
8,110,13,Spring 2023,0,0
8,105,0,Fall 2023,0,0
8,112,18,Fall 2023,0,0
9,101,52,Spring 2023,1,0
9,104,8,Fall 2023,1,0
9,103,71,Spring 2023,1,0
9,115,1,Spring 2023,0,0
10,106,70,Fall 2023,1,0
10,113,23,Spring 2023,1,0
10,102,0,Spring 2023,0,1
10,107,13,Fall 2023,0,1
10,101,81,Fall 2023,0,0
10,114,2,Spring 2023,0,1
10,112,0,Spring 2023,0,0
10,108,50,Spring 2023,0,1
11,104,1,Fall 2023,1,0
11,108,41,Spring 2023,0,1
11,109,11,Spring 2023,0,0
11,115,0,Spring 2023,0,0
11,111,28,Spring 2023,0,0
12,115,59,Fall 2023,1,0
12,105,0,Fall 2023,0,0
12,104,0,Spring 2023,0,0
12,101,57,Fall 2023,0,0
13,113,3,Spring 2023,1,0
13,109,30,Spring 2023,0,0
13,108,80,Fall 2023,0,0
13,104,11,Fall 2023,0,0
13,103,26,Spring 2023,0,0
14,113,7,Spring 2023,1,0
14,106,44,Fall 2023,1,0
14,115,32,Spring 2023,0,0
14,112,37,Fall 2023,0,0
14,102,0,Spring 2023,0,0
14,103,27,Fall 2023,0,1
14,111,19,Fall 2023,0,0
14,107,0,Fall 2023,0,0
15,111,34,Spring 2023,1,0
15,101,49,Fall 2023,0,0
15,103,33,Spring 2023,0,0
15,108,17,Spring 2023,0,1
15,102,0,Fall 2023,0,1
16,111,0,Spring 2023,1,0
16,109,0,Fall 2023,0,0
16,112,0,Fall 2023,0,0
16,113,0,Spring 2023,0,0
16,102,0,Fall 2023,0,1
17,102,40,Fall 2023,1,0
17,108,53,Fall 2023,1,0
17,107,30,Fall 2023,1,0
17,115,18,Fall 2023,0,1
17,113,0,Fall 2023,0,0
18,113,6,Fall 2023,1,0
18,110,16,Spring 2023,0,0
18,102,0,Fall 2023,0,0
18,107,41,Spring 2023,0,0
19,111,66,Spring 2023,1,0
19,112,17,Fall 2023,0,0
19,115,44,Fall 2023,0,0
